"P","Variables","CValue"
1e-19,"MaxAllow",5e-20
1e-04,"MaxAllow",5e-05
0.001,"MaxAllow",5e-04
0.01,"MaxAllow",0.005
0.1,"MaxAllow",0.05
1,"MaxAllow",0.5
10,"MaxAllow",5
100,"MaxAllow",50
1000,"MaxAllow",500
10000,"MaxAllow",5000
1e-19,"MaxGreenBand",7.55092227665437e-32
1e-04,"MaxGreenBand",2.80543363795172e-07
0.001,"MaxGreenBand",1.21898959892487e-05
0.01,"MaxGreenBand",0.000529663443891658
0.1,"MaxGreenBand",0.0230144181740851
1,"MaxGreenBand",1
10,"MaxGreenBand",43.4510224171571
100,"MaxGreenBand",1887.99134909629
1000,"MaxGreenBand",82035.1544329818
10000,"MaxGreenBand",3564511.33426244
1e-19,"MinGreenBand",7.55092227665437e-34
1e-04,"MinGreenBand",2.80543363795172e-09
0.001,"MinGreenBand",1.21898959892487e-07
0.01,"MinGreenBand",5.29663443891658e-06
0.1,"MinGreenBand",0.000230144181740851
1,"MinGreenBand",0.01
10,"MinGreenBand",0.434510224171571
100,"MinGreenBand",18.8799134909629
1000,"MinGreenBand",820.351544329818
10000,"MinGreenBand",35645.1133426244
1e-19,"MinC",7.55092227665437e-34
1e-04,"MinC",2.80543363795172e-09
0.001,"MinC",1.21898959892487e-07
0.01,"MinC",5.29663443891658e-06
0.1,"MinC",0.000230144181740851
1,"MinC",0.01
10,"MinC",0.434510224171571
100,"MinC",18.8799134909629
1000,"MinC",500
10000,"MinC",5000
1e-19,"MaxC",7.55092227665437e-32
1e-04,"MaxC",2.80543363795172e-07
0.001,"MaxC",1.21898959892487e-05
0.01,"MaxC",0.000529663443891658
0.1,"MaxC",0.0230144181740851
1,"MaxC",0.5
10,"MaxC",5
100,"MaxC",50
1000,"MaxC",500
10000,"MaxC",5000
