"species_id","Year","Production","Group","PelDemID","PISCZOOPL","Linf_cm","MaxAge_yr","IsDetritus","Classification","isHub","Class_Code","biomass_tonnes","catch_tonnes","landings_tonnes","consumption","MaxAllow","MaxGreenBand","MinGreenBand","RealMax","RealMin","catch","DistortScore","RefM","RefB","RefBo","Rel_B","Min_B","Max_B","B_Score"
"1",1995,0.0002595645936584,"Toothed whale","TEP","TEP",380,35,0,"Vulnerable",0,1,48102.812,0,0,13.00376,0.0001297822968292,1.3382401317711e-06,1.3382401317711e-08,1.3382401317711e-06,1.3382401317711e-08,0,"L",0.02027426,0.016724159,61879.3883,0.777364051609411,0.5,0.7,"L"
"1",2000,0.0002605581119,"Toothed whale","TEP","TEP",380,35,0,"Vulnerable",0,1,48101.036,0,0,12.99439,0.00013027905595,1.34664068819738e-06,1.34664068819738e-08,1.34664068819738e-06,1.34664068819738e-08,0,"L",0.02027426,0.016724159,61879.3883,0.777335350614641,0.5,0.7,"L"
"1",1999,0.0002604959834425,"Toothed whale","TEP","TEP",380,35,0,"Vulnerable",0,1,48103.367,0,0,12.99437,0.00013024799172125,1.34611476955415e-06,1.34611476955415e-08,1.34611476955415e-06,1.34611476955415e-08,0,"L",0.02027426,0.016724159,61879.3883,0.777373020670277,0.5,0.7,"L"
"1",1998,0.00026020311863,"Toothed whale","TEP","TEP",380,35,0,"Vulnerable",0,1,48105.106,0,0,12.99473,0.000130101559315,1.34363674077249e-06,1.34363674077249e-08,1.34363674077249e-06,1.34363674077249e-08,0,"L",0.02027426,0.016724159,61879.3883,0.777401123727656,0.5,0.7,"L"
"1",1996,0.0002596972195685,"Toothed whale","TEP","TEP",380,35,0,"Vulnerable",0,1,48104.477,0,0,13.00198,0.00012984860978425,1.33936034745848e-06,1.33936034745848e-08,1.33936034745848e-06,1.33936034745848e-08,0,"L",0.02027426,0.016724159,61879.3883,0.777390958792009,0.5,0.7,"L"
"1",1997,0.0002598890442612,"Toothed whale","TEP","TEP",380,35,0,"Vulnerable",0,1,48105.402,0,0,12.99902,0.0001299445221306,1.34098122743373e-06,1.34098122743373e-08,1.34098122743373e-06,1.34098122743373e-08,0,"L",0.02027426,0.016724159,61879.3883,0.777405907226785,0.5,0.7,"L"
"10",1996,0.27523700138608,"Warehous","Demersal","Piscivorous",76,15,0,"Target",0,5,3232700.36,255235.361,243614.4565,2.449482,0.13761850069304,0.120848083493885,0.00120848083493885,0.120848083493885,0.00120848083493885,0.06898253,"A",0.3280606,2.72592282,10085914.434,0.320516338023099,0.4,0.5,"F"
"10",1997,0.28256992917962,"Warehous","Demersal","Piscivorous",76,15,0,"Target",0,5,3128295.98,258723.24,249192.7948,2.503857,0.14128496458981,0.126166569386964,0.00126166569386964,0.126166569386964,0.00126166569386964,0.0699252,"A",0.3280606,2.72592282,10085914.434,0.310164834380747,0.4,0.5,"F"
"10",1998,0.27630116325224,"Warehous","Demersal","Piscivorous",76,15,0,"Target",0,5,3014506.18,214328.457,207539.068,2.566399,0.13815058162612,0.12161436722189,0.0012161436722189,0.12161436722189,0.0012161436722189,0.05792661,"A",0.3280606,2.72592282,10085914.434,0.298882783482476,0.4,0.5,"F"
"10",2000,0.2861336858886,"Warehous","Demersal","Piscivorous",76,15,0,"Target",0,5,2729424.51,225921.63,218117.6973,2.730325,0.1430668429443,0.12878343495295,0.0012878343495295,0.12878343495295,0.0012878343495295,0.0610599,"A",0.3280606,2.72592282,10085914.434,0.270617456439944,0.4,0.5,"F"
