"deg_all","deg_out","PageRank"
16,2,0.00433424774143512
7,1,0.00257337471137361
22,3,0.00779094723316279
12,3,0.00276469270980521
11,3,0.0030868314386426
10,3,0.00310228571352655
23,3,0.00268322071081454
42,4,0.00715668843927698
19,6,0.00729487805684641
17,5,0.00300362244968439
16,11,0.00306959913118176
26,7,0.0062448893743503
17,6,0.00451888673857327
22,6,0.00395071247328997
23,13,0.00345214431010137
18,5,0.00500304343912223
25,4,0.00644453748735771
13,5,0.00294016199158551
22,6,0.00323792247523209
10,3,0.00258393947196439
25,13,0.0175546575191481
19,10,0.0395904707204002
25,18,0.0051581791215908
38,25,0.0236722677226908
30,14,0.0283672154253983
28,17,0.0103877283244122
32,8,0.00530656851411768
6,2,0.0027599284128846
32,7,0.00892199319901834
11,3,0.00260491492019422
19,4,0.00365132637652757
22,5,0.00339678981291255
6,2,0.00289691624995837
7,2,0.00254764908685345
19,9,0.00301951207292923
23,13,0.00291665136866938
21,12,0.00404948685362603
23,5,0.00442384958957252
13,7,0.00713110110808887
12,2,0.0033279765562036
19,13,0.00347089039789844
13,6,0.00260976364255978
14,6,0.00309035613786295
9,3,0.00254826029723361
7,3,0.00273126781567752
35,31,0.0056688800807839
56,35,0.0152350042139706
27,25,0.00257932156065864
37,34,0.199558288755999
38,34,0.055840474220893
28,24,0.0905330955881783
26,24,0.00264661243416053
29,27,0.00341428661488923
38,36,0.0028368516563816
40,39,0.00355655940349134
8,8,0.00254237288135593
5,5,0.00254237288135593
61,3,0.32913115948277
6,6,0.00254237288135593
