,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,58,59
1,"Toothed whale",0.000164920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00847377,
2,"Baleen whale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00339000,
3,Seal,0.000410939,,,,,,0.000130075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0798582,
4,Seabirds,0.000824600,,,,,,0.0000463794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0123823,
5,Penguins,0.000507000,,,,,,0.0000463794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00406166,
6,Tuna/billfish,0.000410939,,,,,,0.000130075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0652283,
7,"Pelagic sharks",0.000333376,,,,,,0.0000301489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00107771,
8,"Demersal sharks",,,,,,,0.000695690,,,,,,,,,,,,,,,,,,,,0.0138592,,0.142416,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478893,
9,Rays,,,,,,,0.000695690,0.0133078,,,,,,,,,,,,,,,,,,,0.0138592,,0.235919,,,,,,,,,,,0.00168480,,,,,,,,,,,,,,,,0.981227,
10,Warehous,,,0.0714167,,,,0.000248127,,,,,,,,,,,,,,,,,,,,,,0.0471838,,,,,,,,,,,0.00168480,,,,,,,,,,,,,,,,0.496462,
11,Redbait,,0.000672000,0.396760,0.00240000,,0.170759,,0.0176440,,,,,,0.104879,,,,,,,,,,,,,0.0692961,,0.0807024,,,,,,,,,,,,,,0.0486409,,,,0.193403,,,,,,,,,1.875217,
12,Redfish,,,0.0365019,,,,0.0000463794,0.0498256,,,,,,0.0420936,,,,,,,,,,,,,,,0.0104144,,,,,,,,,,,,,,,,,,0.0386807,,,,,,,,,2.030569,
13,Ling,,,0.0190445,,,,0.0000051730,0.00220550,,,,,,,,,0.0296297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0193403,,,,,,,,,0.227142,
14,Dories,,,0.0158704,,,,0.0000412063,0.00220240,,,,,,,,,0.0211641,,,,,,,,,,0.0415777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237281,
15,"Jack mackerel",0.0131289,,0.476112,,,0.245467,0.000231897,0.459270,,,,,,0.267639,,,0.0112857,0.0173774,,,,,,,,,0.0828250,,0.151910,,,0.0224177,,,,,,,,,,,,,,,0.0193403,,,,,,,,,4.990930,
16,"Jackass morwong",,,0.0253926,,,,,0.0240755,,,,,,,,,,,,,,,,,,,0.0274932,,0.0424366,,,,,,,,,,,,,,,,,,,,,,,,,,,0.541285,
17,Flathead,,,0.0555463,,,,,0.0142283,,,,,,,,,,,,,,,,,,,0.0138592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426547,
18,Gemfish,,,0.0155530,,,,0.0000206921,,,,,,,,,,,,,,,,,,,,,,,,0.00693815,0.0220441,,,,,,,,,,,,,,,,,,,,,,,,0.0651261,
19,ShOceanPerch,,,0.00793519,,,,,0.00220550,,,,,,,,,0.00423281,,,,,,,,,,,,0.00949440,,,,,,,,,,,,,,,,,,0.0193403,,,,,,,,,0.105761,
20,"Chinaman leatherjacket",,,0.000317408,,,,,0.000219500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00320659,
