,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,"Toothed whale",0.000975857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Baleen whale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Seal,0.00243159,,,,,,0.0251449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Seabirds,0.00487929,,,,,,0.00896562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Penguins,0.00300000,,,,,,0.00896562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tuna/billfish,0.00243159,,,,,,0.0251449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Pelagic sharks",0.00197264,,,,,,0.00582811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Demersal sharks",,,,,,,0.134484,,,,,,,,,,,,,,,,,,,,0.0100399,,0.0300000,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Rays,,,,,,,0.134484,0.00608497,,,,,,,,,,,,,,,,,,,0.0100399,,0.0496964,,,,,,,,,,,0.01000000,,,,,,,,,,,,,,,
10,Warehous,,,0.0450000,,,,0.0479656,,,,,,,,,,,,,,,,,,,,,,0.00993928,,,,,,,,,,,0.01000000,,,,,,,,,,,,,,,
11,Redbait,,0.01000000,0.250000,0.01000000,,0.158612,,0.00806769,,,,,,0.0960205,,,,,,,,,,,,,0.0501994,,0.0170000,,,,,,,,,,,,,,0.0500000,,,,0.01000000,,,,,,,,
12,Redfish,,,0.0230000,,,,0.00896562,0.0227826,,,,,,0.0385384,,,,,,,,,,,,,,,0.00219380,,,,,,,,,,,,,,,,,,0.00200000,,,,,,,,
13,Ling,,,0.0120000,,,,0.00100000,0.00100846,,,,,,,,,0.0140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00100000,,,,,,,,
14,Dories,,,0.01000000,,,,0.00796562,0.00100704,,,,,,,,,0.01000000,,,,,,,,,,0.0301197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Jack mackerel",0.0776860,,0.300000,,,0.228005,0.0448281,0.210000,,,,,,0.245034,,,0.00533249,0.0626890,,,,,,,,,0.0600000,,0.0320000,,,0.0596137,,,,,,,,,,,,,,,0.00100000,,,,,,,,
16,"Jackass morwong",,,0.0160000,,,,,0.0110085,,,,,,,,,,,,,,,,,,,0.0199166,,0.00893928,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Flathead,,,0.0350000,,,,,0.00650585,,,,,,,,,,,,,,,,,,,0.0100399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Gemfish,,,0.00980000,,,,0.00400000,,,,,,,,,,,,,,,,,,,,,,,,0.0158618,0.0586201,,,,,,,,,,,,,,,,,,,,,,,
19,ShOceanPerch,,,0.00500000,,,,,0.00100846,,,,,,,,,0.00200000,,,,,,,,,,,,0.00200000,,,,,,,,,,,,,,,,,,0.00100000,,,,,,,,
20,"Chinaman leatherjacket",,,0.000200000,,,,,0.000100366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Cucumberfish,,,,,,,,0.00676602,,,,0.00987658,0.0795454,0.151764,,,0.128379,,0.0797817,,,,,,0.100000,0.0400000,0.0401595,,0.0403663,,,0.00894206,,,,,,0.0941179,,,,,,,,,,,,,,,,,
22,Whiting,,,0.01000000,,,,,0.00262757,0.0200000,,,,,0.00552876,,,0.100000,,,,,,,,0.100000,,0.00232798,,0.0831381,,,,,,,,,,,,,,,,,,0.00100000,,,,,,,,
23,Cardinal,,,0.00800000,,,,,0.0368614,,0.0179616,,0.253367,0.191867,0.160324,0.00583869,0.102862,0.0500000,,0.0743508,,,,,0.000247143,0.100851,,0.0248958,,0.180572,,0.0146494,0.000993562,,,,,,0.248960,,,,,,,,,,,,,,,,,
24,ShSmInvertFeeder,,,0.0910000,,,,,0.0152605,0.0222971,,,0.00974489,0.236800,0.224426,0.00124706,0.00727018,0.0854570,0.00143900,0.0830252,0.100000,0.00991764,0.00504954,,0.00237600,0.0512030,0.0639845,0.250997,,0.0142919,,0.00919378,0.0228519,,,,,,0.0357562,,,,,0.205000,,,,0.00500000,,,,,,,,
25,ShSmPredator,,,0.0500000,,0.100000,,,0.0150000,,,,0.00987658,0.240000,,,,,,,0.100000,0.00600000,,,0.000609164,0.0500000,,0.0116912,,,,,,,,,,,0.170700,,,,,0.0150000,,,,0.00600000,,,,,,,,
