<HEADER software/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EwEVersion,6.7.0.17300 (compiled 6/04/2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,29/6/2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER ecopath/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModelName,SEF2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER ecosim/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosimScenario,base model 2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeSeries,Time Series SEF2020rev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartYear,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER end/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1994,0.01300022,0.00600001,0.04315611,0.003000126,0.001000041,0.1583129,0.004311035,1.214981,1.200014,0.8985332,2.255629,2.979135,0.444607,0.3897634,5.994731,0.9279169,0.6040545,0.131677,0.2012137,0.005196429,6.952645,5.208923,9.519541,6.345443,5.158489,1.946171,0.4698409,0.1020002,2.580103,0.04900052,0.150833,0.1213057,0.06580015,0.01174599,0.1109995,0.2715018,2.400006,0.1932597,1.424053,0.07199945,7.241047,0.1310039,0.3413359,0.0393464,0.07785525,38.00062,2.446785,0.994811,47.30162,11.6754,4.452728,0.225043,50.60176,17.09101,29.96831,14.99998,0.0100944,199.9855,0.1695696
1995,0.01300076,0.006000029,0.04764722,0.002996946,0.001000117,0.1590198,0.004344972,1.215405,1.200571,0.8910094,2.233195,2.97708,0.4425674,0.388011,5.96552,0.9248212,0.6020479,0.1297917,0.2003908,0.005182368,6.954552,5.210772,9.52209,6.331042,5.150336,1.947257,0.462287,0.1020034,2.580961,0.04904152,0.1509487,0.1213469,0.06580505,0.01175288,0.1110024,0.2715398,2.400193,0.1932619,1.424486,0.07203423,7.248417,0.1310477,0.3421371,0.03934889,0.07674515,38.00639,2.44123,0.9958647,47.29665,11.68123,4.453737,0.2255717,50.60053,17.09685,29.96485,15.00037,0.01009366,199.9871,0.1644254
1996,0.01300121,0.00600003,0.05226171,0.002985644,0.001000307,0.1598827,0.004399704,1.215587,1.200928,0.8737028,2.195565,2.971365,0.4377056,0.3840211,5.912207,0.9177387,0.595086,0.1259479,0.1984707,0.005136197,6.960522,5.213936,9.531207,6.306551,5.136172,1.948612,0.4476523,0.1020123,2.581916,0.0491435,0.1509617,0.1212466,0.0657996,0.01174077,0.1110108,0.2715863,2.400403,0.1932154,1.425846,0.07194837,7.266687,0.131165,0.3441896,0.03935139,0.0745799,38.01373,2.434556,0.9976149,47.28514,11.68644,4.455943,0.2267083,50.59859,17.1075,29.95709,15.00135,0.01009113,199.9929,0.1636412
