<HEADER software/>,,,
EwEVersion,6.7.0.17300 (compiled 6/04/2021),,
Date,29/6/2021 16:45,,
<HEADER ecopath/>,,,
ModelName,SEF2021,,
<HEADER ecosim/>,,,
EcosimScenario,base model 2B,,
TimeSeries,Time Series SEF2020rev,,
StartYear,1994,,
<HEADER end/>,,,
,,,
Data,CatchFleetGroup,,
,,,
year,fleet,group,value
1994,1,3,0.000471015
1994,1,8,0.005774311
1994,1,9,0.004260751
1994,1,10,0.05862818
1994,1,11,9.98E-06
1994,1,12,0.0408591
1994,1,13,0.01480751
1994,1,14,0.01088039
1994,1,15,0.01391027
1994,1,16,0.01621671
1994,1,17,0.03960689
1994,1,18,0.003601365
1994,1,19,0.007535235
1994,1,20,0.000498958
1994,1,21,0.001080822
1994,1,22,8.70E-06
1994,1,23,3.60E-05
1994,1,24,0.01471846
1994,1,25,0.00075138
1994,1,26,0.01027116
1994,1,27,0.001527004
1994,1,29,0.02677907
1994,1,30,0.000319803
1994,1,31,0.004855029
1994,1,32,0.004442576
1994,1,33,0.000351801
1994,1,34,0.000666299
1994,1,35,0.000153399
1994,1,36,0.00151331
1994,1,37,0.008121319
1994,1,38,0.000532408
1994,1,39,1.00E-07
1994,1,40,0.003776771
1994,1,42,7.32E-05
1994,1,43,1.35E-05
1994,1,46,8.10E-07
1994,1,47,0.002809838
1994,1,49,0.001150373
1994,1,50,0.01144155
1994,1,52,1.00E-06
1994,2,6,0.000502374
1994,2,8,0.005665513
1994,2,9,5.05E-07
1994,2,10,0.007754642
1994,2,12,3.03E-07
1994,2,13,0.000681598
1994,2,14,1.58E-05
1994,2,15,0.007831118
1994,2,16,2.63E-06
1994,2,17,8.99E-06
1994,2,18,6.78E-06
1994,2,22,3.03E-07
1994,2,24,3.93E-05
1994,2,26,0.000733483
1994,2,27,0.000774971
1994,2,28,5.70E-06
1994,2,29,0.000559122
1994,2,30,0.000577906
1994,2,31,2.88E-05
1994,2,37,2.02E-07
1994,2,38,2.76E-05
1994,2,40,2.64E-05
1994,2,41,0.05814752
1994,2,42,3.54E-05
1994,2,43,0.01649041
1994,2,45,4.94E-06
1994,2,47,1.15E-05
1994,2,48,2.22E-06
1994,2,50,1.51E-06
1994,3,6,0.01467243
1994,3,7,8.67E-05
1994,3,8,0.000126698
1994,3,9,3.64E-06
1994,3,13,0.00054302
1994,3,16,3.03E-07
1994,3,17,2.02E-07
1994,3,18,1.25E-05
1994,3,19,9.95E-05
1994,3,24,6.18E-05
1994,3,25,5.10E-07
1994,3,26,8.91E-05
1994,3,27,0.002556176
1994,3,28,3.64E-06
1994,3,29,0.000211209
1994,3,30,0.000685407
1994,3,31,1.01E-07
1994,3,40,0.000140299
1994,3,41,1.75E-05
1994,3,42,7.90E-06
1994,3,43,0.000262097
1994,3,45,1.45E-05
1994,3,47,8.10E-07
1994,4,3,3.46E-05
1994,4,6,1.00E-07
1994,4,7,7.00E-07
1994,4,8,0.001629175
1994,4,9,0.000344804
1994,4,10,4.53E-05
1994,4,12,0.000180075
1994,4,13,3.02E-05
1994,4,14,0.000653253
1994,4,15,7.27E-05
1994,4,16,0.000552983
1994,4,17,0.003856458
1994,4,18,0.000116115
1994,4,19,0.000147783
1994,4,20,7.99E-07
1994,4,21,7.93E-05
1994,4,22,9.50E-05
1994,4,23,0.000321004
1994,4,24,3.56E-05
1994,4,25,1.14E-05
1994,4,26,0.000108497
1994,4,27,0.000876193
1994,4,28,3.25E-05
1994,4,29,0.01762731
1994,4,40,3.40E-06
1994,4,42,4.60E-06
1994,4,43,0.000310197
1994,4,45,5.99E-07
1994,4,47,0.00025126
1994,4,48,0.000159825
1994,4,49,0.000767582
1994,4,50,0.001653565
1994,4,52,1.00E-06
1994,5,3,1.66E-05
1994,5,8,0.000246196
1994,5,9,6.00E-05
1994,5,10,0.002635398
1994,5,12,0.000320855
1994,5,13,0.001916406
1994,5,14,0.000708207
1994,5,15,5.36E-05
1994,5,16,1.50E-05
1994,5,17,0.001784729
1994,5,18,8.18E-05
1994,5,19,0.000306757
1994,5,20,4.00E-07
1994,5,21,3.82E-05
1994,5,22,1.19E-05
1994,5,23,1.14E-05
1994,5,24,4.00E-07
1994,5,25,1.33E-05
1994,5,26,0.001711159
1994,5,27,0.000175119
1994,5,29,0.00049482
1994,5,30,5.00E-06
1994,5,31,0.000418602
1994,5,33,9.00E-06
1994,5,47,0.000311827
1994,5,48,3.60E-05
1994,5,49,0.000614386
1994,5,50,0.002169785
1994,5,52,9.00E-08
1994,6,50,0.005210105
1994,7,47,4.00E-06
1994,8,8,2.00E-07
1994,8,13,0.00050955
1994,8,16,6.00E-06
1994,8,24,3.33E-06
1994,8,27,0.00040758
1994,8,29,5.00E-07
1994,8,47,8.70E-06
1994,8,50,0.000132305
1994,9,8,0.005495716
1994,9,9,0.008480501
