<HEADER software/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EwEVersion,6.7.0.17300 (compiled 6/04/2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,29/6/2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER ecopath/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModelName,SEF2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER ecosim/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosimScenario,base model 2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeSeries,Time Series SEF2020rev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartYear,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER end/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1994,0,0,0.000522242,0,0,0.0298551,0.000455556,0.02023571,0.01330661,0.06959055,2.00E-05,0.04142898,0.01856629,0.01264891,0.02204597,0.01707426,0.07628654,0.003828608,0.008095191,0.000520144,0.002008041,0.02095407,0.000368404,0.02724212,0.000824733,0.02469643,0.007300175,0.000256339,0.05066356,0.001588417,0.005302532,0.004442576,0.000360801,0.000666299,0.000155899,0.00151331,0.00812152,0.000560699,1.00E-07,0.003947669,0.05820943,0.000547899,0.02436071,0,0.003139544,8.10E-07,0.00363596,0.000198051,0.002532342,0.02060882,0,2.09E-06,0,0,0,0,0,0,0
1995,0,0,0.000562145,0,0,0.02835613,0.00039837,0.01892616,0.01232207,0.06648933,1.96E-05,0.04050183,0.01780088,0.01218104,0.02085969,0.01665668,0.07274801,0.003682898,0.007844571,0.000506431,0.001893479,0.01876898,0.000365375,0.02561736,0.000803107,0.02302038,0.007038555,0.00025231,0.04991325,0.00152431,0.005116852,0.00435363,0.000351777,0.000653121,0.000152518,0.001482716,0.007956824,0.000547109,9.80E-08,0.003869944,0.052448,0.000542862,0.02275461,0,0.003088778,7.94E-07,0.003501824,0.000190469,0.002379657,0.01474253,0,2.06E-06,0,0,0,0,0,0,0
1996,0,0,0.000660826,0,0,0.02872696,0.000413746,0.01945038,0.01361572,0.06898253,1.99E-05,0.04338322,0.01883924,0.01298736,0.02089435,0.01770432,0.07727962,0.003833615,0.008353696,0.000539372,0.002072213,0.02118092,0.000370346,0.02792956,0.000859017,0.02515088,0.006891547,0.000255556,0.05188814,0.001493293,0.005535774,0.004666172,0.000378414,0.000699864,0.00016374,0.001590745,0.008535796,0.000582115,1.05E-07,0.004131483,0.04674486,0.000545228,0.02123254,0,0.003002071,8.51E-07,0.003744531,0.00019708,0.002571501,0.02356724,0,2.15E-06,0,0,0,0,0,0,0
1997,0,0,0.0007412,0,0,0.03034144,0.000478424,0.02098546,0.01416827,0.0699252,2.00E-05,0.04515234,0.02047492,0.01303612,0.022835,0.01831395,0.07762859,0.003798969,0.008468542,0.000555785,0.00214897,0.02209504,0.000367908,0.02906396,0.000888954,0.02551409,0.008205506,0.00025815,0.0532203,0.001625831,0.005599534,0.004877373,0.000392135,0.000731085,0.000171743,0.001667956,0.008948804,0.000614199,1.11E-07,0.004309052,0.05857879,0.000556987,0.02460642,0,0.002885462,8.93E-07,0.00378205,0.000182005,0.002358825,0.02198402,0,2.18E-06,0,0,0,0,0,0,0
