<HEADER software/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EwEVersion,6.7.0.17300 (compiled 6/04/2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,29/6/2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER ecopath/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModelName,SEF2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER ecosim/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosimScenario,base model 2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeSeries,Time Series SEF2020rev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartYear,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER end/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,ConsumptionBiomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1994,13.00732,11.20058,38.36245,79.98689,79.99447,6.796813,1.200944,1.799252,3.500116,2.4025,4.106582,3.400118,2.401094,2.800322,3.301527,2.90069,3.501692,2.102497,2.601895,2.300912,4.700039,5.399927,6.400105,4.669548,4.46071,3.399343,2.934213,2.000028,1.840342,1.400174,2.899774,3.099664,2.199991,2.700061,4.130076,3.240059,3.500114,2.499781,2.899972,2.339555,8.849734,3.400031,2.849465,2.600063,3.101225,7.999902,7.901325,37.89695,5.999846,5.849818,31.9989,162.9677,17.58,17.57956,70.00058,0,0,0,0
1995,13.00376,11.19995,37.78565,79.89274,80.00454,6.765469,1.200595,1.794643,3.499457,2.416724,4.142887,3.401113,2.407344,2.802597,3.310159,2.905108,3.507702,2.117352,2.612763,2.305405,4.7004,5.398837,6.400324,4.677056,4.465377,3.399065,2.960909,2.000405,1.839804,1.401266,2.897557,3.097717,2.200032,2.699,4.130936,3.240537,3.500982,2.497425,2.899888,2.337583,8.845083,3.400077,2.84256,2.600639,3.110537,7.999064,7.908582,37.87674,6.000051,5.848302,31.99578,162.7561,17.58014,17.57649,70.00623,0,0,0,0
1996,13.00198,11.19944,37.26654,79.92348,80.03288,6.718618,1.197118,1.789306,3.500059,2.449482,4.206979,3.40423,2.423926,2.812293,3.32594,2.915181,3.529145,2.148131,2.638295,2.318927,4.70035,5.3971,6.39876,4.689485,4.47395,3.398324,3.015471,2.000825,1.839574,1.403999,2.896238,3.096176,2.199909,2.702537,4.132004,3.241165,3.502501,2.493498,2.898004,2.336042,8.833396,3.399698,2.827197,2.601814,3.131367,7.99785,7.918659,37.84345,6.000513,5.846256,31.98927,162.3043,17.58047,17.571,70.01972,0,0,0,0
1997,12.99902,11.19893,36.74482,79.94276,80.03478,6.689044,1.196123,1.784025,3.502108,2.503857,4.289269,3.41034,2.455945,2.830853,3.347164,2.931885,3.568934,2.194288,2.679398,2.343691,4.699423,5.394545,6.393235,4.705254,4.486018,3.397876,3.10118,2.001484,1.839351,1.410015,2.89592,3.097136,2.19996,2.712674,4.132045,3.241714,3.504388,2.488791,2.893055,2.336851,8.820177,3.398466,2.81994,2.603469,3.161785,7.997343,7.927669,37.80526,6.001015,5.843466,31.97865,161.6079,17.58013,17.56346,70.0398,0,0,0,0
