<HEADER software/>,,,
EwEVersion,6.7.0.17300 (compiled 6/04/2021),,
Date,29/6/2021 16:45,,
<HEADER ecopath/>,,,
ModelName,SEF2021,,
<HEADER ecosim/>,,,
EcosimScenario,base model 2B,,
TimeSeries,Time Series SEF2020rev,,
StartYear,1994,,
<HEADER end/>,,,
,,,
Data,Landings,,
,,,
year,fleet,group,value
1994,1,8,0.000803488
1994,1,9,0.001210115
1994,1,10,0.05694254
1994,1,11,9.98E-06
1994,1,12,0.02082825
1994,1,13,0.01464026
1994,1,14,0.007488428
1994,1,15,0.000827673
1994,1,16,0.01579265
1994,1,17,0.03888634
1994,1,18,0.002019346
1994,1,19,0.003743436
1994,1,20,0.000487766
1994,1,22,8.20E-06
1994,1,24,5.32E-05
1994,1,25,0.00037439
1994,1,26,0.001167072
1994,1,27,0.001359465
1994,1,29,0.01262651
1994,1,30,0.000319803
1994,1,31,0.004850229
1994,1,32,0.004206978
1994,1,33,0.000319801
1994,1,34,0.000663999
1994,1,35,7.23E-05
1994,1,36,0.000207301
1994,1,37,1.70E-06
1994,1,38,0.000305604
1994,1,40,0.001933585
1994,1,42,7.23E-05
1994,1,43,4.80E-06
1994,1,47,0.002809838
1994,1,50,0.01128864
1994,2,6,0.000497374
1994,2,8,0.005609414
1994,2,9,5.00E-07
1994,2,10,0.007677867
1994,2,12,3.00E-07
1994,2,13,0.000674804
1994,2,14,1.56E-05
1994,2,15,0.007753585
1994,2,16,2.60E-06
1994,2,17,8.89E-06
1994,2,18,6.68E-06
1994,2,22,3.00E-07
1994,2,24,3.89E-05
1994,2,26,0.000726183
1994,2,27,0.000767292
1994,2,28,5.60E-06
1994,2,29,0.000553622
1994,2,30,0.000572206
1994,2,31,2.85E-05
1994,2,37,2.00E-07
1994,2,38,2.73E-05
1994,2,40,2.61E-05
1994,2,41,0.05757178
1994,2,42,3.50E-05
1994,2,43,0.01632711
1994,2,45,4.89E-06
1994,2,47,1.14E-05
1994,2,48,2.20E-06
1994,2,50,1.50E-06
1994,3,6,0.01452714
1994,3,7,8.58E-05
1994,3,8,0.000125398
1994,3,9,3.60E-06
1994,3,13,0.000537625
1994,3,16,3.00E-07
1994,3,17,2.00E-07
1994,3,18,1.24E-05
1994,3,19,9.85E-05
1994,3,24,6.12E-05
1994,3,25,5.00E-07
1994,3,26,8.82E-05
1994,3,27,0.002530846
1994,3,28,3.60E-06
1994,3,29,0.000209108
1994,3,30,0.000678607
1994,3,31,1.00E-07
1994,3,40,0.000138899
1994,3,41,1.73E-05
1994,3,42,7.80E-06
1994,3,43,0.000259497
1994,3,45,1.44E-05
1994,3,47,8.00E-07
1994,4,6,1.00E-07
1994,4,7,7.00E-07
1994,4,8,0.000814288
1994,4,9,0.000172302
1994,4,10,2.21E-05
1994,4,12,8.91E-05
1994,4,13,1.50E-05
1994,4,14,0.000325427
1994,4,15,3.64E-05
1994,4,16,0.000274343
1994,4,17,0.001891417
1994,4,19,7.37E-05
1994,4,22,4.75E-05
1994,4,24,1.78E-05
1994,4,25,5.70E-06
1994,4,26,5.42E-05
1994,4,27,0.000437797
1994,4,28,3.25E-05
1994,4,29,0.008758351
1994,4,40,1.70E-06
1994,4,42,2.30E-06
1994,4,43,0.000155098
1994,4,45,5.99E-07
1994,4,47,0.00025126
1994,4,48,0.000159825
1994,4,49,0.000383791
1994,4,50,0.000822132
1994,5,8,0.000122998
1994,5,9,3.00E-05
1994,5,10,0.001280909
1994,5,12,0.000158977
1994,5,13,0.000951159
1994,5,14,0.000352705
1994,5,15,2.70E-05
1994,5,17,0.000875083
1994,5,18,4.09E-05
1994,5,19,0.000152879
1994,5,22,6.00E-06
1994,5,24,2.00E-07
1994,5,26,0.00085498
1994,5,27,8.78E-05
1994,5,29,0.00024601
1994,5,30,5.00E-06
1994,5,31,0.000209001
1994,5,33,9.00E-06
1994,5,47,0.000311827
1994,5,48,3.60E-05
1994,5,49,0.000306993
1994,5,50,0.001079042
1994,6,50,0.004961994
1994,7,47,4.00E-06
1994,8,8,2.00E-07
1994,8,13,0.00050955
1994,8,16,6.00E-06
1994,8,24,3.30E-06
1994,8,27,0.000403591
1994,8,29,5.00E-07
1994,8,47,8.60E-06
1994,8,50,0.000131005
1994,9,8,0.000542992
1994,9,9,2.40E-05
1994,9,10,0.000107824
1994,9,12,3.00E-07
1994,9,13,5.69E-05
1994,9,14,0.000313737
1994,9,15,3.40E-05
1994,9,16,0.000277841
1994,9,17,0.01962643
1994,9,19,3.00E-06
1994,9,20,2.00E-05
1994,9,22,0.01984706
1994,9,24,0.000167906
1994,9,25,3.00E-06
1994,9,26,0.000259994
1994,9,27,0.000689107
1994,9,28,3.30E-05
1994,9,29,4.80E-05
1994,9,30,3.00E-07
1994,9,42,1.00E-07
1994,9,43,1.60E-05
1994,9,45,9.98E-08
