<HEADER software/>,,,
EwEVersion,6.7.0.17300 (compiled 6/04/2021),,
Date,29/6/2021 16:45,,
<HEADER ecopath/>,,,
ModelName,SEF2021,,
<HEADER ecosim/>,,,
EcosimScenario,base model 2B,,
TimeSeries,Time Series SEF2020rev,,
StartYear,1994,,
<HEADER end/>,,,
,,,
Data,MortFleetGroup,,
,,,
year,fleet,group,value
1994,1,3,0.01091421
1994,1,8,0.004752592
1994,1,9,0.003550583
1994,1,10,0.06524878
1994,1,11,4.43E-06
1994,1,12,0.01371509
1994,1,13,0.03330472
1994,1,14,0.02791537
1994,1,15,0.002320417
1994,1,16,0.01747647
1994,1,17,0.06556839
1994,1,18,0.02735
1994,1,19,0.03744891
1994,1,20,0.09601939
1994,1,21,0.000155455
1994,1,22,1.67E-06
1994,1,23,3.78E-06
1994,1,24,0.002319532
1994,1,25,0.000145659
1994,1,26,0.005277623
1994,1,27,0.003250045
1994,1,29,0.01037907
1994,1,30,0.00652653
1994,1,31,0.03218811
1994,1,32,0.03662297
1994,1,33,0.005346504
1994,1,34,0.05672568
1994,1,35,0.001381982
1994,1,36,0.00557385
1994,1,37,0.003383875
1994,1,38,0.002754882
1994,1,39,7.02E-08
1994,1,40,0.05245555
1994,1,42,0.000558779
1994,1,43,3.96E-05
1994,1,46,2.13E-08
1994,1,47,0.00114838
1994,1,49,2.43E-05
1994,1,50,0.000979971
1994,1,52,4.45E-06
1994,2,6,0.003173296
1994,2,8,0.004663046
1994,2,9,4.21E-07
1994,2,10,0.008630335
1994,2,12,1.02E-07
1994,2,13,0.001533034
1994,2,14,4.05E-05
1994,2,15,0.001306333
1994,2,16,2.83E-06
1994,2,17,1.49E-05
1994,2,18,5.15E-05
1994,2,22,5.82E-08
1994,2,24,6.19E-06
1994,2,26,0.000376885
1994,2,27,0.001649432
1994,2,28,5.59E-05
1994,2,29,0.000216705
1994,2,30,0.01179388
1994,2,31,0.000190941
1994,2,37,8.42E-08
1994,2,38,0.000142815
1994,2,40,0.000366667
1994,2,41,0.008030264
1994,2,42,0.000270229
1994,2,43,0.04831139
1994,2,45,6.34E-05
1994,2,47,4.70E-06
1994,2,48,2.23E-06
1994,2,50,1.29E-07
1994,3,6,0.09267994
1994,3,7,0.02011204
1994,3,8,0.00010428
1994,3,9,3.03E-06
1994,3,13,0.001221348
1994,3,16,3.26E-07
1994,3,17,3.34E-07
1994,3,18,9.47E-05
1994,3,19,0.000494605
1994,3,24,9.73E-06
1994,3,25,9.88E-08
1994,3,26,4.58E-05
1994,3,27,0.005440515
1994,3,28,3.56E-05
1994,3,29,8.19E-05
1994,3,30,0.01398775
1994,3,31,6.70E-07
1994,3,40,0.001948611
1994,3,41,2.42E-06
1994,3,42,6.03E-05
1994,3,43,0.000767857
1994,3,45,0.000185801
1994,3,47,3.31E-07
1994,4,3,0.000801225
1994,4,6,6.32E-07
1994,4,7,0.000162381
1994,4,8,0.001340905
1994,4,9,0.000287333
1994,4,10,5.04E-05
1994,4,12,6.04E-05
1994,4,13,6.79E-05
1994,4,14,0.001676024
1994,4,15,1.21E-05
1994,4,16,0.000595941
1994,4,17,0.006384288
1994,4,18,0.000881818
1994,4,19,0.000734458
1994,4,20,0.000153847
1994,4,21,1.14E-05
1994,4,22,1.82E-05
1994,4,23,3.37E-05
1994,4,24,5.61E-06
1994,4,25,2.21E-06
1994,4,26,5.57E-05
1994,4,27,0.001864871
1994,4,28,0.000318627
1994,4,29,0.006832016
1994,4,40,4.72E-05
1994,4,42,3.51E-05
1994,4,43,0.000908772
1994,4,45,7.69E-06
1994,4,47,0.00010269
1994,4,48,0.000160659
1994,4,49,1.62E-05
1994,4,50,0.000141628
1994,4,52,4.45E-06
1994,5,3,0.000385784
1994,5,8,0.000202634
1994,5,9,5.00E-05
1994,5,10,0.002933
1994,5,12,0.000107701
1994,5,13,0.004310336
1994,5,14,0.001817018
1994,5,15,8.93E-06
1994,5,16,1.62E-05
1994,5,17,0.002954583
1994,5,18,0.000621212
1994,5,19,0.001524534
1994,5,20,7.69E-05
1994,5,21,5.49E-06
1994,5,22,2.28E-06
1994,5,23,1.20E-06
1994,5,24,6.30E-08
1994,5,25,2.58E-06
1994,5,26,0.000879244
1994,5,27,0.00037272
1994,5,29,0.000191783
1994,5,30,0.000102041
1994,5,31,0.002775271
1994,5,33,0.000136778
1994,5,47,0.000127443
1994,5,48,3.62E-05
1994,5,49,1.30E-05
1994,5,50,0.000185843
1994,5,52,4.00E-07
1994,6,50,0.000446246
1994,7,47,1.63E-06
1994,8,8,1.65E-07
1994,8,13,0.001146067
1994,8,16,6.46E-06
1994,8,24,5.24E-07
1994,8,27,0.000867485
1994,8,29,1.94E-07
1994,8,47,3.55E-06
1994,8,50,1.13E-05
1994,9,8,0.004523292
1994,9,9,0.007067
1994,9,10,0.000186333
