<HEADER software/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EwEVersion,6.7.0.17300 (compiled 6/04/2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,29/6/2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER ecopath/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModelName,SEF2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER ecosim/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosimScenario,base model 2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeSeries,Time Series SEF2020rev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartYear,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER end/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,Mortality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1994,0.01997586,0.01999756,0.0751986,0.7999135,0.7998526,0.4800071,0.1999726,0.1799946,0.3499943,0.2875541,0.4955463,0.07537108,0.2324107,0.2902404,0.4725094,0.1515327,0.272862,0.4469893,0.2622286,0.3619252,0.5199454,0.5999778,0.7699749,0.6512722,0.5508552,0.359964,0.4077757,0.2100042,0.2199613,0.1999888,0.2089641,0.2599986,0.2500021,0.3500052,0.4700152,0.3999932,0.2950012,0.3049692,0.4399176,0.2000009,0.7598001,0.4599146,0.3199832,0.1199652,0.2663727,2.597895,2.371996,7.568924,1.60004,2.499852,5.999817,47.68583,5.3701,5.369783,20.00053,298.0004,4.429994,0,0
1995,0.01996534,0.01999772,0.07813033,0.8016033,0.7999768,0.4694251,0.1857753,0.1788507,0.3491008,0.2967043,0.5089164,0.07595347,0.2371563,0.2947061,0.4783926,0.1551059,0.2742289,0.4648025,0.26694,0.364194,0.519556,0.5992332,0.7695312,0.6539979,0.552879,0.3588218,0.4278925,0.2099696,0.2194163,0.1986279,0.2074345,0.2591949,0.2498606,0.3488181,0.470073,0.3998088,0.2949348,0.3047326,0.4394834,0.1988846,0.757854,0.4594472,0.3149335,0.1199585,0.2819619,2.597402,2.375644,7.563495,1.600218,2.49846,5.998855,47.60989,5.370104,5.368358,20.00206,297.9964,4.43016,0,0
1996,0.01997485,0.0200011,0.08314327,0.8037131,0.7998505,0.4709706,0.1882351,0.179185,0.3500993,0.3150236,0.522185,0.07781438,0.2470739,0.3028902,0.4844294,0.1608404,0.2903997,0.4883136,0.2765622,0.376473,0.5187919,0.5990149,0.7684221,0.6573341,0.5549396,0.3593927,0.4514521,0.2099767,0.2197139,0.1979271,0.2096895,0.2617284,0.2502669,0.3529435,0.4699839,0.399996,0.2951342,0.3046849,0.4382647,0.2026505,0.7553024,0.4587522,0.3099491,0.1200152,0.2979214,2.596999,2.378584,7.556161,1.60041,2.49811,5.997069,47.46069,5.370177,5.36639,20.00615,297.9868,4.430715,0,0
