<HEADER software/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EwEVersion,6.7.0.17300 (compiled 6/04/2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,29/6/2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER ecopath/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModelName,SEF2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER ecosim/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosimScenario,base model 2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeSeries,Time Series SEF2020rev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartYear,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER end/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1994,4.568685,3.755203,4.630066,4.48249,4.396786,4.585815,4.936262,4.476439,3.603596,4.007104,3.526592,3.947744,4.588742,4.582113,3.524881,3.483529,4.309008,4.463384,4.236496,4.226838,3.454818,3.357811,4.08908,3.41186,3.959065,3.940866,4.36553,3.584239,4.387096,4.212075,4.384467,4.223217,3.775374,3.638933,3.474188,3.88761,3.594388,4.707337,3.931973,4.636301,3.061463,3.347494,4.162201,3.396839,4.19023,3.248487,4.047002,2.199998,2.52002,3.216313,2.126002,2.95,2.199998,2.199998,2,1,1,1,1
1995,4.569079,3.754926,4.637949,4.487346,4.396198,4.586081,4.940357,4.477899,3.604131,4.006671,3.527163,3.94747,4.588702,4.582167,3.524888,3.483224,4.30871,4.463343,4.236242,4.22645,3.454808,3.357725,4.089056,3.412054,3.958915,3.940844,4.365129,3.584285,4.386853,4.211143,4.384133,4.221884,3.77545,3.638912,3.474241,3.887635,3.594282,4.706683,3.932058,4.635597,3.061449,3.347572,4.161865,3.396718,4.188319,3.248477,4.046405,2.199975,2.520019,3.216319,2.125986,2.949992,2.199975,2.199975,2,1,1,1,1
1996,4.569306,3.754493,4.643521,4.486628,4.395105,4.58674,4.944107,4.477242,3.60414,4.005841,3.528315,3.947098,4.588699,4.582238,3.524884,3.482574,4.308066,4.463195,4.235751,4.225649,3.454813,3.357558,4.088994,3.412316,3.958718,3.940728,4.364034,3.584266,4.386245,4.20956,4.383427,4.219145,3.775534,3.638843,3.47423,3.887625,3.594067,4.705428,3.932139,4.634562,3.061423,3.347743,4.161256,3.39653,4.185051,3.248451,4.045498,2.199923,2.520008,3.216305,2.125949,2.949977,2.199923,2.199923,2,1,1,1,1
1997,4.569455,3.753978,4.647178,4.482864,4.393848,4.587698,4.947289,4.475317,3.603857,4.004651,3.530005,3.9468,4.58885,4.582323,3.524837,3.481629,4.307226,4.462984,4.235123,4.224504,3.454903,3.357326,4.088865,3.412657,3.958629,3.9406,4.362486,3.584229,4.385507,4.207526,4.382407,4.215131,3.775659,3.638695,3.47417,3.887561,3.593767,4.703703,3.932244,4.633421,3.061399,3.347955,4.160597,3.396302,4.180936,3.248396,4.044491,2.199846,2.519984,3.216288,2.125896,2.949954,2.199846,2.199846,2,1,1,1,1
