<HEADER software/>,,,
EwEVersion,6.7.0.17300 (compiled 6/04/2021),,
Date,29/6/2021 16:45,,
<HEADER ecopath/>,,,
ModelName,SEF2021,,
<HEADER ecosim/>,,,
EcosimScenario,base model 2B,,
TimeSeries,Time Series SEF2020rev,,
StartYear,1994,,
<HEADER end/>,,,
,,,
Data,ValueFleetGroup,,
,,,
year,fleet,group,value
1994,1,8,0.003136128
1994,1,9,0.002426156
1994,1,10,0.1438539
1994,1,11,2.00E-05
1994,1,12,0.06566364
1994,1,13,0.09144384
1994,1,14,0.04038364
1994,1,15,0.001655345
1994,1,16,0.05021665
1994,1,17,0.2030221
1994,1,18,0.006845586
1994,1,19,0.014634
1994,1,20,0.000941522
1994,1,22,2.56E-05
1994,1,24,0.00017276
1994,1,25,0.001216462
1994,1,26,0.00379203
1994,1,27,0.004417147
1994,1,29,0.04102581
1994,1,30,0.002818658
1994,1,31,0.01468299
1994,1,32,0.0164461
1994,1,33,0.00103909
1994,1,34,0.003580819
1994,1,35,0.000234915
1994,1,36,0.00067356
1994,1,37,5.52E-06
1994,1,38,0.000992964
1994,1,40,0.006282568
1994,1,42,0.000234923
1994,1,43,1.56E-05
1994,1,47,0.0117631
1994,1,50,0.01128864
1994,2,6,0.004383715
1994,2,8,0.02189435
1994,2,9,1.00E-06
1994,2,10,0.01939659
1994,2,12,9.46E-07
1994,2,13,0.004214859
1994,2,14,8.41E-05
1994,2,15,0.01550717
1994,2,16,8.26E-06
1994,2,17,4.64E-05
1994,2,18,2.27E-05
1994,2,22,9.38E-07
1994,2,24,0.000126322
1994,2,26,0.002359499
1994,2,27,0.00249307
1994,2,28,1.82E-05
1994,2,29,0.001798819
1994,2,30,0.005043264
1994,2,31,8.63E-05
1994,2,37,6.50E-07
1994,2,38,8.87E-05
1994,2,40,8.48E-05
1994,2,41,0.1870611
1994,2,42,0.000113725
1994,2,43,0.05304976
1994,2,45,1.59E-05
1994,2,47,4.77E-05
1994,2,48,5.78E-06
1994,2,50,1.50E-06
1994,3,6,0.1280382
1994,3,7,0.000334904
1994,3,8,0.000489447
1994,3,9,7.22E-06
1994,3,13,0.003358033
1994,3,16,9.53E-07
1994,3,17,1.04E-06
1994,3,18,4.19E-05
1994,3,19,0.000385146
1994,3,24,0.000198739
1994,3,25,1.62E-06
1994,3,26,0.000286571
1994,3,27,0.008223179
1994,3,28,1.17E-05
1994,3,29,0.000679431
1994,3,30,0.005981055
1994,3,31,3.03E-07
1994,3,40,0.000451308
1994,3,41,5.62E-05
1994,3,42,2.53E-05
1994,3,43,0.000843153
1994,3,45,4.67E-05
1994,3,47,3.35E-06
1994,4,6,8.81E-07
1994,4,7,2.73E-06
1994,4,8,0.003178281
1994,4,9,0.000345448
1994,4,10,5.57E-05
1994,4,12,0.000280859
1994,4,13,9.36E-05
1994,4,14,0.001754967
1994,4,15,7.27E-05
1994,4,16,0.000872341
1994,4,17,0.009874921
1994,4,19,0.000288274
1994,4,22,0.000148505
1994,4,24,5.78E-05
1994,4,25,1.85E-05
1994,4,26,0.000176102
1994,4,27,0.001422482
1994,4,28,0.000105599
1994,4,29,0.02845747
1994,4,40,5.52E-06
1994,4,42,7.47E-06
1994,4,43,0.000503942
1994,4,45,1.94E-06
1994,4,47,0.001051876
1994,4,48,0.000420155
1994,4,49,0.000383791
1994,4,50,0.000822132
1994,5,8,0.000480079
1994,5,9,6.01E-05
1994,5,10,0.003235959
1994,5,12,0.000501196
1994,5,13,0.005940991
1994,5,14,0.001902068
1994,5,15,5.40E-05
1994,5,17,0.004568729
1994,5,18,0.00013865
1994,5,19,0.000597641
1994,5,22,1.88E-05
1994,5,24,6.49E-07
1994,5,26,0.002777984
1994,5,27,0.000285145
1994,5,29,0.000799331
1994,5,30,4.41E-05
1994,5,31,0.000632705
1994,5,33,2.92E-05
1994,5,47,0.001305431
1994,5,48,9.47E-05
1994,5,49,0.000306993
1994,5,50,0.001079042
1994,6,50,0.004961994
1994,7,47,1.67E-05
1994,8,8,7.81E-07
1994,8,13,0.003182674
1994,8,16,1.91E-05
1994,8,24,1.07E-05
1994,8,27,0.00131134
1994,8,29,1.62E-06
1994,8,47,3.60E-05
1994,8,50,0.000131005
1994,9,8,0.002119375
1994,9,9,4.81E-05
1994,9,10,0.000272396
1994,9,12,9.46E-07
1994,9,13,0.000355711
1994,9,14,0.001691924
1994,9,15,6.79E-05
1994,9,16,0.000883464
1994,9,17,0.1024678
1994,9,19,1.17E-05
1994,9,20,3.86E-05
1994,9,22,0.0620501
1994,9,24,0.000545557
1994,9,25,9.74E-06
1994,9,26,0.000844767
1994,9,27,0.002239032
1994,9,28,0.000107223
1994,9,29,0.000155967
1994,9,30,2.64E-06
1994,9,42,3.25E-07
1994,9,43,5.20E-05
1994,9,45,3.24E-07
1994,10,6,0.05444832
