<HEADER software/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EwEVersion,6.7.0.17300 (compiled 6/04/2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,29/6/2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER ecopath/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModelName,SEF2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER ecosim/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosimScenario,base model 2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeSeries,Time Series SEF2020rev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartYear,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER end/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,AvgWeightOrProdCons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1994,0.001538461,0.001785714,0.004627488,0.009999999,0.009999999,0.07058823,0.1666666,0.1,0.1,0.1179167,0.1195122,0.02205883,0.09583332,0.1028571,0.1424242,0.05172414,0.07714285,0.2095238,0.1,0.1565218,0.1106383,0.1111111,0.1203125,0.1391863,0.1233184,0.1058824,0.1365188,0.105,0.1195652,0.1428572,0.07206897,0.08387095,0.1136364,0.1296296,0.1138015,0.1234568,0.08428573,0.122,0.1517241,0.08547009,0.0858757,0.1352941,0.1122807,0.04615385,0.08387095,0.221125,0.3,0.1997361,0.2666667,0.4273505,0.1875,0.292638,0.3054607,0.3054607,0.2857143,0,0,0,0
1995,0.001538461,0.001785714,0.004627488,0.009999999,0.009999999,0.07058823,0.1666666,0.1,0.1,0.1179167,0.1195122,0.02205883,0.09583332,0.1028571,0.1424242,0.05172414,0.07714285,0.2095238,0.1,0.1565218,0.1106383,0.1111111,0.1203125,0.1391863,0.1233184,0.1058824,0.1365188,0.105,0.1195652,0.1428572,0.07206897,0.08387095,0.1136364,0.1296296,0.1138015,0.1234568,0.08428573,0.122,0.1517241,0.08547009,0.0858757,0.1352941,0.1122807,0.04615385,0.08387095,0.221125,0.3,0.1997361,0.2666667,0.4273505,0.1875,0.292638,0.3054607,0.3054607,0.2857143,0,0,0,0
1996,0.001538461,0.001785714,0.004627488,0.009999999,0.009999999,0.07058823,0.1666666,0.1,0.1,0.1179167,0.1195122,0.02205883,0.09583332,0.1028571,0.1424242,0.05172414,0.07714285,0.2095238,0.1,0.1565218,0.1106383,0.1111111,0.1203125,0.1391863,0.1233184,0.1058824,0.1365188,0.105,0.1195652,0.1428572,0.07206897,0.08387095,0.1136364,0.1296296,0.1138015,0.1234568,0.08428573,0.122,0.1517241,0.08547009,0.0858757,0.1352941,0.1122807,0.04615385,0.08387095,0.221125,0.3,0.1997361,0.2666667,0.4273505,0.1875,0.292638,0.3054607,0.3054607,0.2857143,0,0,0,0
