<HEADER software/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EwEVersion,6.7.0.17300 (compiled 6/04/2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,29/6/2021 16:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER ecopath/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModelName,SEF2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER ecosim/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosimScenario,zero fishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeSeries,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartYear,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<HEADER end/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1994,0.01300044,0.00600002,0.0433606,0.002980659,0.001000546,0.1745591,0.00455726,1.224647,1.205732,0.9332406,2.25904,3.00047,0.4537911,0.3957964,6.001417,0.9364247,0.6459094,0.1333804,0.2055008,0.005468312,6.951786,5.219822,9.506032,6.358646,5.156789,1.957233,0.4725051,0.1021316,2.606289,0.04983781,0.1535792,0.1236139,0.06599414,0.01209138,0.1108916,0.272119,2.403359,0.1935315,1.421088,0.07409727,7.253796,0.1312453,0.3539924,0.03934642,0.07944163,38.00566,2.447753,0.993933,47.29163,11.67302,4.446191,0.2249075,50.60021,17.08101,29.96811,15.00045,0.0100803,199.9945,0.1017978
1995,0.013035569,0.006005298,0.043650525,0.00299182,0.001036147,0.182652785,0.004688268,1.235005085,1.212889019,0.950152696,2.27249441,3.049073774,0.461567495,0.399946836,6.025812179,0.957281684,0.659144915,0.143633024,0.207847537,0.005553586,7.033467811,5.266616208,9.655201321,6.422238009,5.202775139,1.961486246,0.478398867,0.103273148,2.63217584,0.05062261,0.154164963,0.124531896,0.066867557,0.012264624,0.111675311,0.273262769,2.415986453,0.194883348,1.444935387,0.075434273,7.296712406,0.1315229,0.354068423,0.03987629,0.080873684,37.96771708,2.446698226,0.993754752,47.29787358,11.67546104,4.446805396,0.224867179,50.64029953,17.10008028,29.96589217,14.99917132,0.010082715,199.9828208,0.100837443
1996,0.013070699,0.006010576,0.043940451,0.003002981,0.001071748,0.19074647,0.004819275,1.24536317,1.220046038,0.967064793,2.285948821,3.097677547,0.46934389,0.404097272,6.050207358,0.978138668,0.67238043,0.153885648,0.210194274,0.005638859,7.115149623,5.313410415,9.804370642,6.485830019,5.248761277,1.965739492,0.484292634,0.104414696,2.658062679,0.051407411,0.154750726,0.125449892,0.067740973,0.012437869,0.112459022,0.274406538,2.428613906,0.196235196,1.468782774,0.076771276,7.339628811,0.1318005,0.354144445,0.040406161,0.082305739,37.92977415,2.445643453,0.993576504,47.30411717,11.67790208,4.447419792,0.224826858,50.68038906,17.11915057,29.96367434,14.99789264,0.010085129,199.9711415,0.099877087
