"<HEADER software/>"
EwEVersion,"6.7.0.17300 (compiled 6/04/2021)"
Date,"29/06/2021 4:46:24 PM"
"<HEADER ecopath/>"
ModelName,SEF2021
"<HEADER ecosim/>"
EcosimScenario,"zero fishing"
TimeSeries,-
StartYear,1994
"<HEADER end/>"

Data,Mortality

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1994,0.0199478,0.01999522,0.06469993,0.8107786,0.7989235,0.2872301,0.09341361,0.1636808,0.3396108,0.210937,0.4908837,0.06237086,0.1936951,0.2604731,0.4707656,0.1343592,0.1424123,0.4233976,0.2199281,0.2608506,0.5202426,0.5956106,0.7736967,0.6465099,0.5519193,0.3490078,0.3989888,0.2074358,0.2006549,0.1672764,0.1744898,0.2234166,0.2444069,0.2921254,0.4728254,0.395612,0.2923379,0.3025063,0.4454361,0.1448961,0.757302,0.4562047,0.250063,0.1199003,0.2282555,2.597071,2.371956,7.574609,1.600591,2.500561,6.008202,47.71233,5.370474,5.373566,20.00094,297.9957,4.433091,0,0
1995,0.01985846,0.01999789,0.07386404,0.8351383,0.7992432,0.2878465,0.09322479,0.1646208,0.341387,0.230028,0.4918781,0.06625017,0.2103834,0.2760006,0.4807342,0.143124,0.1425219,0.4625798,0.2215806,0.2687376,0.5204496,0.5939255,0.7801049,0.6482528,0.5570367,0.3528136,0.44325,0.207554,0.2016105,0.1675183,0.1763538,0.2247492,0.2444133,0.2924894,0.4812892,0.3978851,0.2938385,0.3033185,0.4557916,0.1456613,0.7687723,0.4567629,0.255525,0.119696,0.2527768,2.588881,2.375927,7.572356,1.60083,2.501611,6.020701,47.7152,5.375952,5.368271,19.99438,297.9944,4.440642,0,0
1996,0.01983752,0.02003318,0.08401587,0.8357343,0.8033159,0.288346,0.09323705,0.1651578,0.3425802,0.2500184,0.4916177,0.07057571,0.2287452,0.2931537,0.4886394,0.153146,0.1421429,0.5068204,0.2229768,0.2757424,0.5193849,0.5907159,0.7838139,0.6494555,0.5618455,0.355715,0.4937284,0.2076933,0.2020545,0.1677359,0.1773087,0.2257199,0.2444178,0.2926496,0.4886328,0.3992129,0.2950297,0.3039951,0.4640341,0.1463392,0.7791929,0.456802,0.2600663,0.1196513,0.2747856,2.577191,2.375818,7.563702,1.601589,2.49876,6.036581,47.70506,5.386258,5.351673,19.98221,297.9958,4.445018,0,0
1997,0.01985699,0.02009436,0.09443489,0.8262493,0.8079026,0.2887546,0.09336229,0.1653469,0.3432859,0.2695303,0.490351,0.07516729,0.2481266,0.3112654,0.494618,0.1639723,0.1413412,0.5540658,0.224223,0.2815971,0.5174075,0.5867137,0.7849175,0.6503187,0.5663145,0.3579037,0.5481545,0.2076257,0.2020791,0.1679362,0.1775011,0.2263219,0.2444211,0.2925926,0.4950464,0.3997531,0.2959833,0.3045695,0.4704413,0.1469535,0.7889955,0.4565537,0.2639449,0.1196991,0.2932496,2.566506,2.373759,7.55397,1.603462,2.494631,6.059584,47.69366,5.396485,5.32851,19.96725,298.0008,4.446252,0,0
1998,0.01989903,0.02016812,0.1052063,0.8173235,0.8117521,0.2890922,0.09354607,0.1652554,0.3436104,0.2881519,0.4882532,0.07997581,0.26834,0.3301531,0.4990805,0.1754698,0.1401924,0.6036724,0.2253425,0.2864588,0.5148128,0.5824522,0.7835968,0.6509612,0.5705517,0.3595237,0.6057681,0.2073181,0.2017347,0.1681219,0.1770538,0.2265759,0.2444253,0.2923417,0.5006856,0.3996238,0.2967496,0.3050147,0.4752884,0.1475222,0.7982545,0.4560966,0.2672858,0.1197971,0.3086029,2.559365,2.370373,7.544283,1.606038,2.490308,6.088881,47.68719,5.40401,5.301544,19.95127,298.0147,4.445744,0,0
1999,0.0199583,0.02024474,0.116211,0.8113251,0.8146577,0.2893741,0.09377237,0.16496,0.3436614,0.3053457,0.4855011,0.0848616,0.2888688,0.3493281,0.5023379,0.1873026,0.1387887,0.6541542,0.2263428,0.2904333,0.5118336,0.5782793,0.7800994,0.6514382,0.574513,0.360697,0.664745,0.2068084,0.201079,0.168298,0.1760807,0.2265155,0.2444313,0.291942,0.5056569,0.3989169,0.2973621,0.3053116,0.4788154,0.1480571,0.8069844,0.4554774,0.2701699,0.1199327,0.3211407,2.557168,2.365785,7.534964,1.60887,2.48621,6.12237,47.68872,5.407362,5.272667,19.93555,298.0404,4.444467,0,0
2000,0.02003796,0.02031823,0.1214491,0.8079581,0.8167536,0.2896122,0.09405395,0.1645755,0.3435787,0.3150344,0.482438,0.0876911,0.3020164,0.3614593,0.5040334,0.1945967,0.1373077,0.6847523,0.2272285,0.2925606,0.5088555,0.5747404,0.7750368,0.6517792,0.5756833,0.3616365,0.6999356,0.2061453,0.2002616,0.1684718,0.1748009,0.226208,0.244439,0.2914529,0.5100362,0.3977831,0.2978519,0.3054478,0.4813444,0.1485649,0.8152049,0.4547582,0.2726574,0.1201121,0.327599,2.560482,2.36042,7.527054,1.611646,2.482685,6.157455,47.70163,5.405826,5.243478,19.92107,298.0788,4.442957,0,0
2001,0.02014328,0.02038532,0.1215492,0.8065588,0.8181353,0.2898157,0.09440418,0.1642769,0.3435496,0.3186596,0.479719,0.08861784,0.3081117,0.3669121,0.5048692,0.1975561,0.1360778,0.6967903,0.2279797,0.2933995,0.5066454,0.5729353,0.7698324,0.6520097,0.5748603,0.3627232,0.7129102,0.2053672,0.1995978,0.1686483,0.1736712,0.2257996,0.2444481,0.2909544,0.5138713,0.3965473,0.2982626,0.3053775,0.4834515,0.1490442,0.822834,0.4540108,0.2747713,0.1203463,0.3298374,2.568507,2.355223,7.522064,1.613984,2.480055,6.189238,47.72961,5.399723,5.215674,19.90841,298.1293,4.441394,0,0
2002,0.0202647,0.02044505,0.121644,0.8064803,0.8188977,0.2899918,0.09479034,0.1640751,0.3435799,0.3217029,0.4774137,0.08938897,0.3133552,0.3716229,0.5056344,0.2000878,0.1351246,0.7071247,0.2285866,0.2940863,0.5051705,0.5725952,0.7648526,0.6521033,0.574339,0.3639307,0.7240664,0.2045161,0.1991113,0.1688187,0.1727404,0.2253544,0.2444574,0.2905214,0.5171859,0.3953065,0.2986062,0.3051003,0.4852879,0.1494891,0.829787,0.4532163,0.2765388,0.1206114,0.3316693,2.579632,2.349967,7.518532,1.615622,2.477817,6.213568,47.76616,5.390436,5.189497,19.89787,298.1881,4.439567,0,0
2003,0.02039639,0.02049782,0.1217336,0.8070605,0.8191748,0.2901458,0.09519481,0.1639391,0.3436338,0.3242632,0.4754518,0.0900305,0.3178645,0.375696,0.5063289,0.2022455,0.1343906,0.7159944,0.2290708,0.2946476,0.5042242,0.573227,0.7601192,0.6520545,0.5740302,0.3651679,0.7337204,0.2036272,0.1987631,0.1689769,0.1719542,0.2248977,0.2444655,0.2901989,0.5200177,0.3940857,0.2988876,0.3046716,0.4868775,0.149896,0.8361188,0.4523874,0.278016,0.1208929,0.3331776,2.592714,2.344572,7.515992,1.616618,2.47576,6.229386,47.80594,5.379128,5.164955,19.88949,298.2512,4.437297,0,0
